isotope	idnumber	ring	species	subspecies	rn	wp	two	wpp2	wppc	wpt3	wpss	tars	tail	bw	bd	bn	thl	age	moult	ogc	wing	weight	fat	muscle	ringer	time	date	jdate	month	nanjizal	period	condition	pointedness	t3p2	conditiontars
-44.5	98	KPN472	CHIFF	C	N	4	9.5	9.1	38.6	12.8	NA	19.7	51	NA	NA	NA	27.2	4	NA	NA	63	9.3	3	2	RJ	13:45	26/10/2017	29	O	Y	3	8.415	0.0587	116.48	8.870096329
-67.7	13	KPN475	CHIFF	C	N	4	8	7.3	36.5	10.7	NA	20.5	49	NA	NA	NA	27.8	3	O	0	62	7.3	0	1	RJ	15:00	26/10/2017	29	O	Y	3	6.833	0.0548	78.11	6.308614594
-79.4	54	KPN478	CHIFF	C	N	4.5	9	7.6	35.2	10.2	NA	19.5	49	NA	NA	NA	27.7	3	O	0	61	8.2	2	1	RJ	08:30	27/10/2017	30	O	Y	3	7.944	0.0426	77.52	8.021205188
-79.6	31	KPN479	CHIFF	C	N	4.5	9	7.6	36.6	12.6	NA	19.4	50	NA	NA	NA	27.8	3	O	8	62	9.9	5	1	RJ	09:20	27/10/2017	30	O	Y	3	9.266	0.0806	95.76	9.808293798
-70.9	59	KPN480	CHIFF	C	N	4.5	8.5	6.6	36.4	13.4	NA	19.5	47	NA	NA	NA	27.2	3	O	3	62	7.7	2	1	RJ	09:30	27/10/2017	30	O	Y	3	7.207	0.1096	88.44	7.532107311
-63.3	3	KPN504	CHIFF	A	N	4	9.5	6.9	34.9	11.6	NA	20.5	46	NA	NA	NA	26.3	3	T	3	60	7.6	2	1	RJ	10:20	27/10/2017	30	O	Y	3	7.624	0.0783	80.04	6.567872728
-98.5	9	KPN510	CHIFF	T	N	4	8	5	33.1	10.2	NA	18.6	46	NA	NA	NA	26.6	3	O	4	58	8.2	3	1	RJ	10:30	27/10/2017	30	O	Y	3	8.837	0.0965	51	9.017516928
-63.3	81	KPN518	CHIFF	A	N	4	9	6.2	36.7	13.7	NA	20.1	52	NA	NA	NA	28.6	3	O	5	64	7.5	0	1	RJ	10:45	27/10/2017	30	O	Y	3	6.564	0.1171	84.94	6.805756483
-61	17	KPN524	CHIFF	C	N	4	9	7.5	33.7	10.5	NA	18.4	46	NA	NA	NA	27.5	3	O	4	56	8.5	4	1	RJ	11:45	27/10/2017	30	O	Y	3	9.866	0.0535	78.75	9.601195783
-61.4	75	KPN526	CHIFF	C	N	4	7	5.9	35.7	12.3	NA	19.4	48	NA	NA	NA	26.6	4	NA	NA	61	7.5	2	1	RJ	12:10	27/10/2017	30	O	Y	3	7.265	0.1049	72.57	7.430525604
-56.6	50	KPN484	CHIFF	C	N	4	9.5	6.4	33.4	11.5	NA	19.4	44	NA	NA	NA	27.4	4	NA	NA	57	7	2	2	RJ	12:20	27/10/2017	30	O	Y	3	7.827	0.0894	73.6	6.935157231
-61	108	KPN561	CHIFF	C	N	5	8.5	6.5	33.5	12.6	NA	19.9	46	NA	NA	NA	27.8	3	O	3	57	7.8	2	2	RJ	09:30	28/10/2017	31	O	Y	4	8.721	0.107	81.9	7.255553008
